FIREWALL AI SOC ANALYST - INCIDENT REPORT
Generated: 2026-05-11 14:04:05.491812
Total Alerts: 181
Total Packets: 54113
Blocked IPs: []

=== ALERT LOG ===
14:00:12 | 172.217.31.42 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:11 | 142.251.151.119 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:07 | 172.217.26.35 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:07 | 192.168.0.1 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:06 | 172.64.148.235 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:06 | 142.250.182.110 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:04 | 104.18.39.85 -> 192.168.0.198 | Score: 0.10 | LOW
14:00:02 | 142.250.183.202 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:59 | 57.144.49.33 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:54 | 192.168.0.198 -> 142.250.182.110 | Score: 0.10 | LOW
13:59:41 | 23.64.59.18 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:37 | 142.251.12.188 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:34 | 3.173.21.63 -> 192.168.0.198 | Score: 0.40 | MEDIUM
13:59:29 | 142.250.193.69 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:17 | 172.217.24.74 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:08 | 192.168.0.197 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:07 | 172.217.26.35 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:07 | 192.168.0.1 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:06 | 172.64.148.235 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:06 | 142.250.182.110 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:04 | 104.18.39.85 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:02 | 142.250.183.202 -> 192.168.0.198 | Score: 0.10 | LOW
13:59:00 | 57.144.49.32 -> 192.168.0.198 | Score: 0.10 | LOW
13:58:59 | 57.144.49.33 -> 192.168.0.198 | Score: 0.10 | LOW
13:58:53 | 192.168.0.198 -> 172.64.148.235 | Score: 0.10 | LOW
